company_name,company_number,company_status,company_type,dissolution_date,incorporation_date,nature_of_business,registered_office_address
SALT GLOBAL LTD,13838616,Active,Private limited company,,2022-01-10,62090,71-75 Shelton Street Covent Garden London WC2H 9JQ
KEPPLA LIMITED,13838610,Active,Private limited company,,2022-01-10,62090 85600,71-75 Shelton Street Covent Garden London WC2H 9JQ
CENTURY METAL LTD,13838606,Active,Private limited company,,2022-01-10,38210 46720 46770,71-75 Shelton Street Covent Garden London WC2H 9JQ
AQUAVALANCHE LTD,13836661,Active,Private limited company,,2022-01-10,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
VIS MARKETING LTD,13838342,Active,Private limited company,,2022-01-10,62020,71-75 Shelton Street Covent Garden London WC2H 9JQ
THREE MOUNTAINS MEDIA AND TRADE LTD,13838843,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
SAIDCOMA LTD,13836899,Active,Private limited company,,2022-01-10,95290,71-75 Shelton Street Covent Garden London WC2H 9JQ
OUTREACH AND TRANSLATIONS LTD,13836908,Active,Private limited company,,2022-01-10,62090 70229 73110 96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
BOOMLY LTD,13838637,Active,Private limited company,,2022-01-10,47990,71-75 Shelton Street Covent Garden London WC2H 9JQ
EXO NEBULA HOLDINGS LTD,13836463,Active,Private limited company,,2022-01-10,96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
SHIP IT FAST LLP,OC440563,Active,Limited liability partnership,,2022-01-10," ",71-75 Shelton Street Covent Garden London WC2H 9JQ
SS GLOBAL SERVER LIMITED,13836719,Active,Private limited company,,2022-01-10,47910 63110 63990 82990,71-75 Shelton Street Covent Garden London WC2H 9JQ
NALMAE LTD,13838353,Active,Private limited company,,2022-01-10,62012,71-75 Shelton Street Covent Garden London WC2H 9JQ
GWP EUROPE LTD,13838745,Active,Private limited company,,2022-01-10,70229 74909,71-75 Shelton Street Covent Garden London WC2H 9JQ
MT HEALTHCARE LTD,13839351,Active,Private limited company,,2022-01-10,10890,71-75 Shelton Street Covent Garden London WC2H 9JQ
HUTCH RETAIL LTD.,13840352,Active,Private limited company,,2022-01-11,47990,Hutch Retail Ltd 71-75 Shelton Street Covent Garden London WC2H 9JQ
ANIKET PILLAY LTD,13840370,Active,Private limited company,,2022-01-11,58110 62012 63990,71-75 Shelton Street Covent Garden London WC2H 9JQ
CONNECT WISE RECRUITMENT LTD,13841905,Active,Private limited company,,2022-01-11,78109 78200,71-75 Shelton Street Covent Garden London WC2H 9JQ
EPISOFT GROUP LTD,13842496,Active,Private limited company,,2022-01-11,71200,71-75 Shelton Street Covent Garden London WC2H 9JQ
FORMONIX CONSULTANCY LTD,13842495,Active,Private limited company,,2022-01-11,46190,71-75 Shelton Street Covent Garden London WC2H 9JQ
TIDE GAMING LTD,13842499,Active,Private limited company,,2022-01-11,58210,71-75 Shelton Street Covent Garden London WC2H 9JQ
RHMARQUE LTD,13839174,Active,Private limited company,,2022-01-10,47910,71-75 Shelton Street Covent Garden London WC2H 9JQ
AZTEK GAMING LTD,13839954,Active,Private limited company,,2022-01-11,58210,71-75 Shelton Street Covent Garden London WC2H 9JQ
RENITH LTD,13839970,Active,Private limited company,,2022-01-11,47910,71-75 Shelton Street London WC2H 9JQ
TAYLORED PROPERTY GROUP SW LIMITED,13839983,Active,Private limited company,,2022-01-11,68209,71-75 Shelton Street Covent Garden London WC2H 9JQ
RSA GLOBAL LTD,13839997,Active,Private limited company,,2022-01-11,73110,71-75 Shelton Street Covent Garden London WC2H 9JQ
VLOTTY LTD,13840119,Active,Private limited company,,2022-01-11,14131 14132 15120 96090,71-75 Shelton Street Covent Garden London WC2H 9JQ
HASSAN ESSAM LTD,13839907,Active,Private limited company,,2022-01-11,41100 74100 78300 79110,71-75 Shelton Street Covent Garden London WC2H 9JQ
